cluster_label,Month,Total Hours,Fuel Used Per Hour,AssetID,GPS Longitude_y,GPS Lattitude_y
0,1,696.1950909090907,145.27055120678176,110,-121.61731914242426,39.8795365814394
0,2,638.7920909090906,136.65463550932753,110,-121.61731914242426,39.8795365814394
0,3,690.7306363636364,143.2454842480045,110,-121.61731914242426,39.8795365814394
0,4,679.2138181818182,138.1593404345129,110,-121.61731914242426,39.8795365814394
0,5,701.1496363636362,139.83751784353078,110,-121.61731914242426,39.8795365814394
0,6,678.3632727272726,135.11260949653058,110,-121.61731914242426,39.8795365814394
0,7,707.0410000000002,131.88705954418202,110,-121.61731914242426,39.8795365814394
0,8,706.5308181818183,139.53273301944813,110,-121.61731914242426,39.8795365814394
0,9,677.332909090909,145.52446938540788,110,-121.61731914242426,39.8795365814394
0,10,693.114909090909,135.11708450911127,110,-121.61731914242426,39.8795365814394
0,11,687.4508181818181,134.6048547128489,110,-121.61731914242426,39.8795365814394
0,12,712.9686363636366,145.02165328418207,110,-121.61731914242426,39.8795365814394
1,1,654.9251578947368,147.72680412099453,95,-82.7794228868421,36.833522751754394
1,2,588.3784374999999,163.7683228356683,96,-82.77741956119792,36.82622357855904
1,3,662.2613541666668,123.50555363673851,96,-82.77741956119792,36.82622357855904
1,4,652.8853608247423,134.2771317921616,97,-82.78292552036082,36.81893298496565
1,5,674.0921649484536,126.98319138266524,97,-82.78292552036082,36.81893298496565
1,6,638.6519587628866,142.73655780372363,97,-82.78292552036082,36.81893298496565
1,7,664.5957731958764,152.549710098926,97,-82.78292552036082,36.81893298496565
1,8,657.1620618556701,139.77925083123554,97,-82.78292552036082,36.81893298496565
1,9,643.433854166667,127.13751665274242,96,-82.77741956119792,36.82622357855904
1,10,660.9785263157895,142.70038958101128,95,-82.7794228868421,36.833522751754394
1,11,649.8783157894738,128.41778446384268,95,-82.7794228868421,36.833522751754394
1,12,664.643789473684,144.23099957038795,95,-82.7794228868421,36.833522751754394
2,1,686.2282051282046,139.3734187270813,78,-98.23894328506219,42.872469534625104
2,2,624.5847435897437,123.99187229866605,78,-98.23894328506219,42.872469534625104
2,3,696.9362337662335,152.08079179346166,77,-98.22834501839829,42.87856309469698
2,4,674.9478481012655,129.36477198600934,79,-98.24656873895832,42.86656404955752
2,5,702.1579746835442,128.46464116448576,79,-98.24656873895832,42.86656404955752
2,6,663.0872151898732,147.53137216134039,79,-98.24656873895832,42.86656404955752
2,7,689.0458227848101,154.0370333775636,79,-98.24656873895832,42.86656404955752
2,8,700.1093670886078,137.95288465086918,79,-98.24656873895832,42.86656404955752
2,9,665.2173417721517,143.29128664211376,79,-98.24656873895832,42.86656404955752
2,10,696.5772151898733,129.99064340136493,79,-98.24656873895832,42.86656404955752
2,11,672.9625641025641,147.13855684507124,78,-98.23894328506219,42.872469534625104
2,12,691.9548717948717,138.33102256377305,78,-98.23894328506219,42.872469534625104
3,1,714.1052808988761,128.03437694346383,89,-95.42748576919477,32.484036858614225
3,2,642.2826966292134,126.46493361358426,89,-95.42748576919477,32.484036858614225
3,3,720.4475280898878,131.56230153794192,89,-95.42748576919477,32.484036858614225
3,4,685.2866304347824,140.62001073792632,92,-95.43538359846013,32.5002851240942
3,5,723.1904395604395,140.1468218917596,91,-95.42947903360806,32.49491942216117
3,6,693.1272527472529,143.3716416808652,91,-95.42947903360806,32.49491942216117
3,7,726.4917777777779,137.74656856483927,90,-95.4337220650926,32.489455369074065
3,8,720.2368888888889,135.30192466033893,90,-95.4337220650926,32.489455369074065
3,9,708.4247191011236,132.9948439631821,89,-95.42748576919477,32.484036858614225
3,10,728.0782222222223,135.60213561339617,90,-95.4232648850926,32.48962182907407
3,11,681.9528888888888,143.11181950152735,90,-95.4232648850926,32.48962182907407
3,12,708.6084269662922,131.4276512917008,89,-95.42748576919477,32.484036858614225
4,1,686.0005806451614,144.1135606448976,155,-75.65138858709673,38.53446444408601
